#T4dPh/L/aw1X1veGAG4AXgCJAIkAgQCBAHAAcABxAHQAhwB7AGAAiwCMAIwAKwArAIEAgQB9AH0AeAB4AH4AfgB4AHgAgwCDAIQAnwBzAHMAlQCVAKAAeQCWAH0AsgCyAF8AswB0AHkAhwCHAJIAkgBuAHkAgwCLAKUAdwBMAHoA2ADHAIUAeAB7AHsAewCJAIIAggB9AH0AhwCHAIEAgQCMAIwAhwCHAMcAxwCaAMkArgCBAIQAhQCJAIkATACxAMEAdACNAH8AfACyAIIAggB2AHYAggCsAKQApACJAIkAfAB8AIYAhgCHAIcAfgB+AGIAYgCIAIgAuwC7AHoAegB+AH4AmwB7AH8AXgCFAIUApwB1AF4AXgCFAHkAfAB8AKQApAB6AHoAgAB7AI4AdQCDAIMAfQB9AMMAyACCAIoAkwB/AIMAgwB6AHoAdAB0AmoCagB5AHkAfwB/AH8AfwL/Av8B/wL/AP8A/wB/AH8BAAAAAAAAfwBfAgcF/wT/ABQAFAAFAAUD/wiWAW0BjgZPBgUGAQb8BgAG5QAAAAAAAAAAAAAAAAAAAAAAAAAAAP8A/wB/AH8AfwB/AAAAAA==

dna_arelon_lib_pope_1 = {
   portrait_info = {

	type=male

	genes={ 	
		hair_color={ 79 135 79 135 }
 		skin_color={ 242 255 107 13 }
 		eye_color={ 87 214 247 134 }
 		gene_cheek_fat={ "cheek_fat" 110 "cheek_fat" 94 }
 		gene_cheek_forward={ "cheek_forward" 137 "cheek_forward" 137 }
 		gene_cheek_height={ "cheek_height" 129 "cheek_height" 129 }
 		gene_cheek_prom={ "cheek_prom" 112 "cheek_prom" 112 }
 		gene_cheek_width={ "cheek_width" 113 "cheek_width" 116 }
 		gene_chin_forward={ "chin_forward" 135 "chin_forward" 123 }
 		gene_chin_height={ "chin_height" 96 "chin_height" 139 }
 		gene_chin_width={ "chin_width" 140 "chin_width" 140 }
 		gene_ear_angle={ "ear_angle" 43 "ear_angle" 43 }
 		gene_ear_inner_shape={ "ear_inner_shape" 129 "ear_inner_shape" 129 }
 		gene_ear_lower_bend={ "ear_lower_bend" 125 "ear_lower_bend" 125 }
 		gene_ear_out={ "ear_out" 120 "ear_out" 120 }
 		gene_ear_size={ "ear_size" 126 "ear_size" 126 }
 		gene_ear_upper_bend={ "ear_upper_bend" 120 "ear_upper_bend" 120 }
 		gene_eye_angle={ "eye_angle" 131 "eye_angle" 131 }
 		gene_eye_depth={ "eye_depth" 132 "eye_depth" 159 }
 		gene_eye_distance={ "eye_distance" 115 "eye_distance" 115 }
 		gene_eye_height={ "eye_height" 149 "eye_height" 149 }
 		gene_eye_shut={ "eye_shut" 160 "eye_shut" 121 }
 		gene_eye_corner_def={ "eye_corner_def" 150 "eye_corner_def" 125 }
 		gene_eye_corner_depth_min={ "eye_corner_depth_min" 178 "eye_corner_depth_min" 178 }
 		gene_eye_fold_droop={ "eye_fold_droop" 95 "eye_fold_droop" 179 }
 		gene_eye_fold_shape={ "eye_fold_shape" 116 "eye_fold_shape" 121 }
 		gene_eye_size={ "eye_size" 135 "eye_size" 135 }
 		gene_eye_upper_lid_size={ "eye_upper_lid_size" 146 "eye_upper_lid_size" 146 }
 		gene_forehead_angle={ "forehead_angle" 110 "forehead_angle" 121 }
 		gene_forehead_brow_curve={ "forehead_brow_curve" 131 "forehead_brow_curve" 139 }
 		gene_forehead_brow_forward={ "forehead_brow_forward" 165 "forehead_brow_forward" 119 }
 		gene_forehead_brow_height={ "forehead_brow_height" 76 "forehead_brow_height" 122 }
 		gene_forehead_brow_inner_height={ "forehead_brow_inner_height" 216 "forehead_brow_inner_height" 199 }
 		gene_forehead_brow_outer_height={ "forehead_brow_outer_height" 133 "forehead_brow_outer_height" 120 }
 		gene_forehead_brow_width={ "forehead_brow_width" 123 "forehead_brow_width" 123 }
 		gene_forehead_height={ "forehead_height" 123 "forehead_height" 137 }
 		gene_forehead_roundness={ "forehead_roundness" 130 "forehead_roundness" 130 }
 		gene_forehead_width={ "forehead_width" 125 "forehead_width" 125 }
 		gene_head_height={ "head_height" 135 "head_height" 135 }
 		gene_head_profile={ "head_profile" 129 "head_profile" 129 }
 		gene_head_top_height={ "head_top_height" 140 "head_top_height" 140 }
 		gene_head_top_width={ "head_top_width" 135 "head_top_width" 135 }
 		gene_head_width={ "head_width" 199 "head_width" 199 }
 		gene_jaw_angle={ "jaw_angle" 154 "jaw_angle" 201 }
 		gene_jaw_def={ "jaw_def" 174 "jaw_def" 129 }
 		gene_jaw_forward={ "jaw_forward" 132 "jaw_forward" 133 }
 		gene_jaw_height={ "jaw_height" 137 "jaw_height" 137 }
 		gene_jaw_width={ "jaw_width" 76 "jaw_width" 177 }
 		gene_mouth_corner_height={ "mouth_corner_height" 193 "mouth_corner_height" 116 }
 		gene_mouth_forward={ "mouth_forward" 141 "mouth_forward" 127 }
 		gene_mouth_height={ "mouth_height" 124 "mouth_height" 178 }
 		gene_mouth_lower_lip_def={ "mouth_lower_lip_def" 130 "mouth_lower_lip_def" 130 }
 		gene_mouth_lower_lip_full={ "mouth_lower_lip_full" 118 "mouth_lower_lip_full" 118 }
 		gene_mouth_lower_lip_pads={ "mouth_lower_lip_pads" 130 "mouth_lower_lip_pads" 172 }
 		gene_mouth_lower_lip_size={ "mouth_lower_lip_size" 164 "mouth_lower_lip_size" 164 }
 		gene_mouth_lower_lip_width={ "mouth_lower_lip_width" 137 "mouth_lower_lip_width" 137 }
 		gene_mouth_open={ "mouth_open" 124 "mouth_open" 124 }
 		gene_mouth_philtrum_curve={ "mouth_philtrum_curve" 134 "mouth_philtrum_curve" 134 }
 		gene_mouth_philtrum_def={ "mouth_philtrum_def" 135 "mouth_philtrum_def" 135 }
 		gene_mouth_philtrum_width={ "mouth_philtrum_width" 126 "mouth_philtrum_width" 126 }
 		gene_mouth_upper_lip_curve={ "mouth_upper_lip_curve" 98 "mouth_upper_lip_curve" 98 }
 		gene_mouth_upper_lip_def={ "mouth_upper_lip_def" 136 "mouth_upper_lip_def" 136 }
 		gene_mouth_upper_lip_full={ "mouth_upper_lip_full" 187 "mouth_upper_lip_full" 187 }
 		gene_mouth_upper_lip_width={ "mouth_upper_lip_width" 122 "mouth_upper_lip_width" 122 }
 		gene_mouth_upper_lip_size={ "mouth_upper_lip_size" 126 "mouth_upper_lip_size" 126 }
 		gene_mouth_width={ "mouth_width" 155 "mouth_width" 123 }
 		gene_nose_curve={ "nose_curve" 127 "nose_curve" 94 }
 		gene_nose_forward={ "nose_forward" 133 "nose_forward" 133 }
 		gene_nose_hawk={ "nose_hawk" 167 "nose_hawk" 117 }
 		gene_nose_height={ "nose_height" 94 "nose_height" 94 }
 		gene_nose_length={ "nose_length" 133 "nose_length" 121 }
 		gene_nose_nostril_angle={ "nose_nostril_angle" 124 "nose_nostril_angle" 124 }
 		gene_nose_nostril_height={ "nose_nostril_height" 164 "nose_nostril_height" 164 }
 		gene_nose_nostril_width={ "nose_nostril_width" 122 "nose_nostril_width" 122 }
 		gene_nose_ridge_angle={ "nose_ridge_angle" 128 "nose_ridge_angle" 123 }
 		gene_nose_ridge_def={ "nose_ridge_def" 142 "nose_ridge_def" 117 }
 		gene_nose_ridge_def_min={ "nose_ridge_def_min" 131 "nose_ridge_def_min" 131 }
 		gene_nose_ridge_width={ "nose_ridge_width" 125 "nose_ridge_width" 125 }
 		gene_nose_size={ "nose_size" 195 "nose_size" 200 }
 		gene_nose_tip_angle={ "nose_tip_angle" 130 "nose_tip_angle" 138 }
 		gene_nose_tip_forward={ "nose_tip_forward" 147 "nose_tip_forward" 127 }
 		gene_nose_tip_width={ "nose_tip_width" 131 "nose_tip_width" 131 }
 		gene_neck_length={ "neck_length" 122 "neck_length" 122 }
 		gene_neck_width={ "neck_width" 116 "neck_width" 116 }
 		gene_bs_body_type={ "body_fat_head_fat_full" 106 "body_fat_head_fat_full" 106 }
 		gene_height={ "normal_height" 121 "normal_height" 121 }
 		gene_age={ "old_1" 127 "old_1" 127 }
 		gene_old_ears={ "old_ears_01" 127 "old_ears_01" 127 }
 		gene_old_eyes={ "old_eyes_03" 255 "old_eyes_03" 255 }
 		gene_old_forehead={ "old_forehead_02" 255 "old_forehead_03" 255 }
 		gene_old_mouth={ "old_mouth_01" 255 "old_mouth_01" 255 }
 		gene_old_nose={ "old_nose_01" 127 "old_nose_01" 127 }
 		gene_complexion={ "complexion_02" 0 "complexion_01" 0 }
 		gene_stubble={ "stubble_low" 0 "stubble_low" 127 }
 		gene_crowfeet={ "crowfeet_01" 95 "crowfeet_03" 7 }
 		gene_face_dacals={ "no_decal" 255 "face_dacal_05" 255 }
 		gene_frown={ "frown_01" 20 "frown_01" 20 }
 		gene_surprise={ "surprise_01" 5 "surprise_01" 5 }
 		gene_eyebrows_shape={ "avg_spacing_low_thickness" 255 "far_spacing_low_thickness" 150 }
 		gene_eyebrows_fullness={ "layer_2_avg_thickness" 109 "layer_2_avg_thickness" 142 }
 		hairstyles={ "european_hairstyles" 79 "european_hairstyles" 5 }
 		beards={ "european_beards" 1 "european_beards" 252 }
 		mustaches={ "european_mustaches" 0 "european_mustaches" 229 }
 		props={ "no_prop" 0 "no_prop" 0 }
 		eye_accessory={ "normal_eyes" 0 "normal_eyes" 0 }
 		eye_lashes_accessory={ "normal_eyelashes" 0 "normal_eyelashes" 0 }
 		teeth_accessory={ "normal_teeth" 0 "normal_teeth" 0 }
 		gene_no_portrait={ "no_portrait" 0 "no_portrait" 0 }
 		base_skins={ "gene_no_flat_skin" 255 "gene_no_flat_skin" 255 }
 		race_gene_mer_ears_01={ "default_1" 127 "default_1" 127 }
 		race_gene_mer_ears_02={ "default_1" 127 "default_1" 127 }
 		gene_tusks_and_teeth={ "no_tusks" 0 "no_tusks" 0 }
 		outfits={ "pope_outfits" 0 "all_outfits" 0 }
 		top_layer={ "religios_cape_power_bloc" 0 "all_top_layers" 0 }

		}
	}
	enabled=yes
}


#C+gL6BEGEQaczqmoAGkAeQCGAIYAoACHAIQApQCMAH0AgACAAIUAhQCyALIAggCCAFoAWgBhAGEAjACMAIEAgQCFAIUAeAB4AIkAsQCDAIMAkACQAIUAhQCAAIAAiwCLAFcAdACOAEkAhQCFAF4AXgCNAK0AjABnAIAAgABfAHUAewB7AHYAdgBzAHMAjADIAIMAjAB3AHcAmACYAHcAdwCKAIoApwCnALEAsQB2AHYAkQB5AH0AfQB9AH0AegB6AHUAdQCBAIEAjACMAHUAdQB5AHkAtwC3AJMAewCkAIMAfgB+AL4AvgB4AHgAeQB5AHMAcwB/AH8AdwB3AHwAfACHAIcAlwB9AH4AqABoAGgAgwCDAGMAfwC1AH4AggCCAHgAeACBAIEAlgB3AI0AdwB/AHsAjQB4AKwAfAB6AHcAdwBaADgAgACcAJAAcgByAG0AewCzAJsAfwB/AH8AfwMAAP8C/wL/AAAC/wEAAH8BAAIAAdEAfwKxABkF/wT/AQ4BDgIAAgAB/wbIAf8EnxX5BoQGcgbSBmQGoQAAAAAAAAAAAAAAAAAAAAAAAAAAAP8A/wB/AH8AfwB/AAAAAA==

dna_arelon_lib_pope_2 = {
   portrait_info = {

	type=male

	genes={ 	
		hair_color={ 11 232 11 232 }
 		skin_color={ 17 6 17 6 }
 		eye_color={ 156 206 169 168 }
 		gene_cheek_fat={ "cheek_fat" 105 "cheek_fat" 121 }
 		gene_cheek_forward={ "cheek_forward" 134 "cheek_forward" 134 }
 		gene_cheek_height={ "cheek_height" 160 "cheek_height" 135 }
 		gene_cheek_prom={ "cheek_prom" 132 "cheek_prom" 165 }
 		gene_cheek_width={ "cheek_width" 140 "cheek_width" 125 }
 		gene_chin_forward={ "chin_forward" 128 "chin_forward" 128 }
 		gene_chin_height={ "chin_height" 133 "chin_height" 133 }
 		gene_chin_width={ "chin_width" 178 "chin_width" 178 }
 		gene_ear_angle={ "ear_angle" 130 "ear_angle" 130 }
 		gene_ear_inner_shape={ "ear_inner_shape" 90 "ear_inner_shape" 90 }
 		gene_ear_lower_bend={ "ear_lower_bend" 97 "ear_lower_bend" 97 }
 		gene_ear_out={ "ear_out" 140 "ear_out" 140 }
 		gene_ear_size={ "ear_size" 129 "ear_size" 129 }
 		gene_ear_upper_bend={ "ear_upper_bend" 133 "ear_upper_bend" 133 }
 		gene_eye_angle={ "eye_angle" 120 "eye_angle" 120 }
 		gene_eye_depth={ "eye_depth" 137 "eye_depth" 177 }
 		gene_eye_distance={ "eye_distance" 131 "eye_distance" 131 }
 		gene_eye_height={ "eye_height" 144 "eye_height" 144 }
 		gene_eye_shut={ "eye_shut" 133 "eye_shut" 133 }
 		gene_eye_corner_def={ "eye_corner_def" 128 "eye_corner_def" 128 }
 		gene_eye_corner_depth_min={ "eye_corner_depth_min" 139 "eye_corner_depth_min" 139 }
 		gene_eye_fold_droop={ "eye_fold_droop" 87 "eye_fold_droop" 116 }
 		gene_eye_fold_shape={ "eye_fold_shape" 142 "eye_fold_shape" 73 }
 		gene_eye_size={ "eye_size" 133 "eye_size" 133 }
